,anno,provincia,comune,giorno,organo_di_rilevazione,localizzazione_incidente,denominazione_della_strada,tronco_di_strada_o_autostrada,tipo_di_strada,pavimentazione,intersezione_o_non_interse3,fondo_stradale,segnaletica,condizioni_meteorologiche,natura_incidente,tipo_veicolo_a,tipo_veicoli__b_,tipo_veicolo__c_,veicolo__a____circostanze_10,veicolo__a____circostanze_11,veicolo__b____circostanze_13,veicolo__b____circostanze_14,veicolo__a___anno_immatric18,immatricolazione_veicolo__b_,immatricolazione_veicolo__c_,veicolo__a___et__conducente,veicolo__a___sesso_conducente,veicolo__a___esito_conducente,veicolo__a___patente_condu29,veicolo__a___anno_rilascio30,veicolo__a___passeggeri_an35,veicolo__a___et__passegger36,veicolo__a___sesso_passegg37,veicolo__a___esito_passegg38,veicolo__a___et__passegger39,veicolo__a___sesso_passegg40,veicolo__a___esito_passegg41,veicolo__a___et__passegger42,veicolo__a___sesso_passegg43,veicolo__a___esito_passegg44,veicolo__a___et__passegger45,veicolo__a___sesso_passegg46,veicolo__a___altri_passegg47,veicolo__a___altri_passegg48,veicolo__a___altri_passegg49,veicolo__a___altri_passegg50,veicolo__b___et__conducente,veicolo__b___sesso_conducente,veicolo__b___esito_conducente,veicolo__b___patente_condu51,veicolo__b___anno_rilascio52,veicolo__b___passeggeri_an57,veicolo__b___et__passegger58,veicolo__b___sesso_passegg59,veicolo__b___esito_passegg60,veicolo__b___et__passegger61,veicolo__b___sesso_passegg62,veicolo__b___esito_passegg63,veicolo__b___et__passegger64,veicolo__b___sesso_passegg65,veicolo__b___esito_passegg66,veicolo__b___et__passegger67,veicolo__b___sesso_passegg68,veicolo__b___altri_passegg69,veicolo__b___altri_passegg70,veicolo__b___altri_passegg71,veicolo__b___altri_passegg72,veicolo__c___et__conducente,veicolo__c___sesso_conducente,veicolo__c___esito_conducente,veicolo__c___patente_condu73,veicolo__c___anno_rilascio74,veicolo__c___passeggeri_an79,veicolo__c___et__passegger80,veicolo__c___sesso_passegg81,veicolo__c___esito_passegg82,veicolo__c___et__passegger83,veicolo__c___sesso_passegg84,veicolo__c___esito_passegg85,veicolo__c___et__passegger86,veicolo__c___sesso_passegg87,veicolo__c___esito_passegg88,veicolo__c___et__passegger89,veicolo__c___sesso_passegg90,veicolo__c___altri_passegg91,veicolo__c___altri_passegg92,veicolo__c___altri_passegg93,veicolo__c___altri_passegg94,pedone_morto_1__sesso,pedone_morto_1__et_,pedone_ferito_1__sesso,pedone_ferito_1__et_,pedone_morto_2__sesso,pedone_morto_2__et_,pedone_ferito_2__sesso,pedone_ferito_2__et_,pedone_morto_3__sesso,pedone_morto_3__et_,pedone_ferito_3__sesso,pedone_ferito_3__et_,pedone_morto_4__sesso,pedone_morto_4__et_,pedone_ferito_4__sesso,pedone_ferito_4__et_,altri_veicoli_coinvolti,morti_maschi_coinvolti_su_95,morti_femmine_coinvolti_su96,feriti_maschi_coinvolti_su97,feriti_femmine_coinvolti_s98,morti_entro_24_ore,morti_entro_30_giorni,feriti,descrizione_strada,Ora,chilometri,ettometrica,trimestre
102087,16,15,146,3,4,1,   ,12,2,1,7,2,4,3,2,1,01,01,20,  ,34,  ,2012       ,2007       ,           ,45-54,1,1,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,65+  ,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Carbonera Azzo, 5                                    ",18,0,0,2
102088,16,15,146,4,4,1,   ,12,2,1,7,2,4,3,10,16,  ,  ,70,  ,71,  ,           ,           ,           ,55-64,2,2,2,"(1976,1981]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"foro Buonaparte, 68                                      ",9,0,0,2
102089,16,15,146,5,4,1,   ,12,2,1,7,2,4,3,1,1,01,  ,20,  ,23,  ,           ,           ,           ,30-44,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,2,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,"via Porpora Nicola, 62                                   ",10,0,0,2
102090,16,15,146,6,4,1,   ,12,1,1,4,1,4,1,6,16,01,  ,64,  ,61,  ,"(2001,2006]",2008       ,           ,18-29,1,2,5,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Antonio da Saluzzo incrocio via Ornato Luigi         ,20,0,0,2
102091,16,15,146,7,4,1,   ,12,4,1,7,1,4,1,5,1,  ,  ,45,  ,53,  ,"(2001,2006]",           ,           ,30-44,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,65+  , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"viale Ungheria, 9                                        ",13,0,0,2
102092,16,15,146,1,4,1,   ,12,1,1,3,1,2,1,2,1,08,  ,06,  ,01,  ,2008       ,"(2001,2006]",           ,30-44,2,2,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,via Gassendi incrocio piazzale Accursio Francesco        ,8,0,0,2
102093,16,15,146,2,4,1,   ,12,2,1,3,1,4,1,4,16,01,  ,04,  ,01,  ,"(1991,1996]",2015       ,           ,45-54,1,2,2,"(1976,1981]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Murialdo Padre Leonardo incrocio via dei Giacinti    ,9,0,0,2
102094,16,15,146,2,4,1,   ,12,4,1,7,1,4,1,6,1,16,  ,61,  ,61,  ,2007       ,           ,           ,65+  ,2,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,15-17,1,2,8,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"piazzale Maciachini Carlo, 9                             ",12,0,0,2
102095,16,15,146,2,4,1,   ,12,4,1,4,1,4,1,2,3,01,  ,02,  ,01,  ,2015       ,"(2001,2006]",           ,45-54,1,1,3,"(1996,2001]", ,     , ,2,30-44,4, ,     , , ,     , ,0,0,0,0,45-54,1,2,2,"(2001,2006]", ,     , ,2,30-44,3,2,18-29,3, ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,4,viale Lancetti Vincenzo incrocio via Resegone            ,19,0,0,2
102096,16,15,146,2,4,1,   ,12,3,1,1,1,3,1,2,16,01,  ,04,  ,04,  ,2010       ,2007       ,           ,55-64,1,2,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,2,1,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Castelbarco Gian Carlo incrocio piazza Sraffa Angelo ,21,0,0,2
102097,16,15,146,3,4,1,   ,12,2,1,9,1,4,1,10,16,  ,  ,70,  ,73,  ,           ,           ,           ,18-29,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"cavalcavia Milani Don Lorenzo, 20                        ",9,0,0,2
102098,16,15,146,3,4,1,   ,12,3,1,3,1,4,1,2,1,14,  ,02,  ,01,  ,2009       ,           ,           ,65+  ,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,7,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,largo f.lli Cervi incrocio via Venini Giulio e Corrado   ,11,0,0,2
102099,16,15,146,5,4,1,   ,12,2,1,3,1,4,1,2,8,01,  ,05,  ,01,  ,2008       ,2013       ,           ,45-54,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,2,2,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Broni incrocio via dell' Assunta                     ,9,0,0,2
102100,16,15,146,7,4,1,   ,12,4,1,4,1,4,1,2,16,01,  ,02,  ,01,  ,"(2001,2006]",2008       ,           ,30-44,1,2,9,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,55-64,1,1,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,viale Abruzzi incrocio via Donatello                     ,9,0,0,2
102101,16,15,146,7,4,1,   ,12,2,1,7,1,4,1,3,1,15,  ,38,  ,21,  ,2009       ,"(1991,1996]",           ,65+  ,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,0,"(2006,2011]", ,     , ,2,30-44,3, ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,"via Costa Andrea, 4                                      ",16,0,0,2
102102,16,15,146,1,4,1,   ,12,2,1,7,1,4,1,5,1,  ,  ,40,  ,50,  ,2010       ,           ,           ,55-64,2,1,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,55-64, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Golgi Camillo, 18                                    ",8,0,0,2
102103,16,15,146,1,4,1,   ,12,2,1,7,1,4,1,2,16,01,  ,20,  ,35,  ,"(2001,2006]",2007       ,           ,45-54,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via delle Forze Armate, 41                               ",9,0,0,2
102104,16,15,146,4,4,1,   ,12,1,1,7,1,4,1,5,1,  ,  ,45,  ,40,  ,2016       ,           ,           ,18-29,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,65+  , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Prampolini Camillo, 12                               ",11,0,0,2
102105,16,15,146,4,4,1,   ,12,2,1,7,1,4,1,5,3,  ,  ,40,  ,55,  ,2016       ,           ,           ,45-54,1,1,2,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,3,10-14, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Lomellina, 8                                         ",17,0,0,2
102106,16,15,146,6,4,1,   ,12,1,1,1,1,4,1,8,17,  ,  ,  ,  ,65,  ,2012       ,           ,           ,30-44,1,2,2,"(2006,2011]", ,     , ,2,18-29,4, ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,via Palmanova incrocio cavalcavia Cascina Gobba          ,1,0,0,2
102107,16,15,146,6,4,1,   ,12,2,1,7,1,4,1,1,16,07,  ,22,  ,20,  ,2012       ,           ,           ,30-44,2,2,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1, ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"ripa di Porta Ticinese, 83                               ",13,0,0,2
102108,16,15,146,2,4,1,   ,12,1,1,4,2,4,1,5,5,  ,  ,46,  ,51,  ,2014       ,           ,           ,30-44,1,1,4,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,30-44, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,piazza Vesuvio incrocio via Lipari                       ,16,0,0,2
102109,16,15,146,2,4,1,   ,12,2,1,4,2,4,1,10,15,  ,  ,70,  ,73,  ,2007       ,           ,           ,55-64,1,2,2,"(1976,1981]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,viale D'Annunzio Gabriele incrocio piazzale Cantore Anton,18,0,0,2
102110,16,15,146,2,4,1,   ,12,2,1,7,1,4,1,3,15,01,  ,23,  ,20,  ,2007       ,2011       ,           ,30-44,1,2,0,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1,2,"(1991,1996]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Val di Sole, 10                                      ",20,0,0,2
102111,16,15,146,3,4,1,   ,12,3,1,7,1,4,1,2,16,01,  ,20,  ,35,  ,2012       ,2015       ,           ,18-29,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Bergognone, 9                                        ",13,0,0,2
102112,16,15,146,5,4,1,   ,12,3,1,4,1,4,1,2,15,01,  ,11,  ,01,  ,           ,           ,           ,55-64,1,2,0,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Castel Morrone incrocio via Modena Gustavo           ,13,0,0,2
102113,16,15,146,6,4,1,   ,12,4,1,4,2,4,3,6,1,01,  ,61,  ,61,  ,2013       ,2012       ,           ,30-44,1,2,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,65+  ,1,2,2,"(1976,1981]",2,65+  ,4, ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,3,viale Isonzo incrocio corso Lodi                         ,11,0,0,2
102114,16,15,146,7,4,1,   ,12,3,1,1,1,4,1,2,15,01,  ,01,  ,04,  ,2013       ,"(2001,2006]",           ,18-29,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,2,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Inganni Angelo incrocio via del Passero              ,19,0,0,2
102115,16,15,146,1,4,1,   ,12,1,1,4,1,4,1,8,16,  ,  ,60,  ,60,  ,2011       ,           ,           ,55-64,1,2,2,(<=1976]   , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,viale Testi Fulvio incrocio via S.Glicerio               ,15,0,0,2
102116,16,15,146,2,4,1,   ,12,2,1,3,1,4,1,5,1,  ,  ,49,  ,51,  ,2016       ,           ,           ,65+  ,1,1,2,(<=1976]   , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,3,18-29, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Lamarmora Alfonso incrocio via Micca Pietro          ,13,0,0,2
102117,16,15,146,2,4,1,   ,12,4,1,7,1,2,1,3,1,16,  ,20,  ,21,  ,2014       ,2007       ,           ,55-64,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2, ,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"viale Toscana, 23                                        ",15,0,0,2
102260,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,3,1,17,  ,21,  ,20,  ,2012       ,2015       ,           ,55-64,1,1,2,"(1976,1981]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,2,2,"(1986,1991]", ,     , ,2,45-54,4, ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,"viale Suzzani, 96                                        ",9,0,0,4
102261,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,2,1,16,  ,21,  ,20,  ,"(2001,2006]",2011       ,           ,65+  ,1,1,2,(<=1976]   , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,2,2,2,"(1986,1991]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Tolstoi Leone, 51                                    ",10,0,0,4
102262,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,2,16,01,  ,29,  ,38,  ,2008       ,2013       ,           ,45-54,2,2,2,"(1986,1991]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,65+  ,2,1,2,"(1981,1986]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Labus Giovanni, 21                                   ",10,0,0,4
102263,16,15,146,3,4,1,   ,12,1,1,4,1,4,1,2,1,03,  ,02,  ,01,  ,2007       ,2014       ,           ,45-54,1,1,2,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Mecenate incrocio via Fantoli Gaudenzio              ,10,0,0,4
102264,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,5,1,  ,  ,49,  ,53,  ,2009       ,           ,           ,65+  ,1,1,2,"(1986,1991]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,30-44, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Novara, 4                                            ",11,0,0,4
102265,16,15,146,3,4,1,   ,12,3,1,7,1,4,1,6,1,01,  ,64,  ,61,  ,"(2001,2006]",           ,           ,30-44,1,1,3,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"viale Serra Renato, palo luce 19                         ",16,0,0,4
102266,16,15,146,3,4,1,   ,12,2,1,3,1,4,1,2,15,01,  ,00,  ,00,  ,2011       ,2015       ,           ,18-29,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,2,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,piazza Risorgimento incrocio corso Indipendenza          ,24,0,0,4
102267,16,15,146,4,4,1,   ,12,1,1,7,1,4,1,2,16,01,  ,20,  ,35,  ,2009       ,"(2001,2006]",           ,30-44,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,1,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Savona, 96                                           ",11,0,0,4
102268,16,15,146,4,4,1,   ,12,2,1,3,1,4,1,3,16,11,  ,01,  ,15,  ,           ,"(2001,2006]",           ,30-44,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,5,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Washington Giorgio incrocio via Garian Enrico        ,15,0,0,4
102269,16,15,146,4,4,1,   ,12,2,1,3,1,4,1,2,16,01,  ,01,  ,05,  ,"(2001,2006]",2016       ,           ,55-64,2,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Rovani Giuseppe incrocio via Gioberti Vincenzo       ,16,0,0,4
102270,16,15,146,5,4,1,   ,12,4,1,7,1,4,1,10,15,  ,  ,71,  ,73,  ,2012       ,           ,           ,18-29,2,2,0,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,piazzale Aquileia in prox p.r.f. 3771                    ,2,0,0,4
102271,16,15,146,5,4,1,   ,12,2,1,3,1,4,1,2,1,01,  ,05,  ,01,  ,2010       ,2008       ,           ,45-54,2,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,55-64,2,2,2,"(1976,1981]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,via Cadibona incrocio via Maspero Paolo                  ,17,0,0,4
102272,16,15,146,5,4,1,   ,12,2,1,3,1,4,1,5,1,  ,  ,41,  ,51,  ,2013       ,           ,           ,30-44,2,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,3,6-9  , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Rismondo Francesco incrocio via Pistoia              ,19,0,0,4
102273,16,15,146,5,4,1,   ,12,3,1,4,1,4,1,2,14,01,  ,01,  ,06,  ,           ,           ,           ,18-29,1,2,7,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,viale Papiniano incrocio via Modestino                   ,22,0,0,4
